Indiv	NatalYear	CoreNestling	ImmCohort	InclBr
1453-78243	NA	N	1995	Y
1453-78248	NA	N	1994	Y
1453-78249	NA	N	1994	Y
1453-78250	NA	N	1994	Y
1453-78251	NA	N	1994	Y
UF11_FWMmom	NA	N	1993	N
1453-78256	1996	Y	NA	N
1453-78257	1996	Y	NA	N
1453-78258	1996	Y	NA	N
1453-78259	1996	Y	NA	N
1453-78260	1996	Y	NA	N
1453-78261	1996	Y	NA	N
1453-78262	1996	Y	NA	N
1453-78263	1996	Y	NA	N
1453-78265	1996	Y	NA	N
1453-78272	1996	Y	NA	N
1453-78273	1996	Y	NA	N
1453-78274	1996	Y	NA	N
1453-78274.1	1996	Y	NA	N
1453-78284	1996	Y	NA	N
1453-78285	1996	Y	NA	N
1453-78286	1996	Y	NA	Y
1453-78290	1996	Y	NA	Y
1453-78291	1996	Y	NA	N
1453-78292	1996	Y	NA	Y
1453-78293	1996	Y	NA	N
1453-78305	1996	Y	NA	Y
1453-78306	1996	Y	NA	Y
1453-78310	1996	Y	NA	N
1453-78332	1996	Y	NA	N
1453-78333	1996	Y	NA	N
1453-78334	1996	Y	NA	N
1453-78335	1996	Y	NA	N
1453-78336	1996	Y	NA	N
1453-78337	1996	Y	NA	N
1453-78355	1996	Y	NA	N
1453-78356	1996	Y	NA	Y
1453-78357	1996	Y	NA	N
1453-78358	1996	Y	NA	N
1453-78359	1996	Y	NA	Y
1453-78373	1996	Y	NA	N
1453-78374	1996	Y	NA	N
1453-78375	1996	Y	NA	N
1453-78375.1	1996	Y	NA	N
1453-78388	NA	N	1994	Y
1453-78389	1996	Y	NA	N
1453-78390	1996	Y	NA	N
1453-78400	NA	N	1995	Y
1453-89906	NA	N	1996	N
1513-02006	1997	N	NA	N
1513-02007	1997	N	NA	N
1513-02008	1997	N	NA	N
1513-02009	1997	N	NA	N
1513-02010	1997	N	NA	Y
1513-02011	1997	N	NA	N
1513-02012	1997	N	NA	N
1513-02013	1997	N	NA	N
1513-02022	1997	N	NA	N
1513-02023	1997	N	NA	N
1513-02024	1997	N	NA	N
1513-02027	1997	N	NA	N
1513-02028	1997	N	NA	N
1513-02029	1997	N	NA	N
1513-02030	1997	N	NA	N
1513-02060	1997	N	NA	N
1513-02061	1997	N	NA	N
1513-02062	1997	N	NA	N
1513-02063	1997	N	NA	N
1513-02066	NA	N	1995	Y
1513-02068	1997	N	NA	N
1513-02069	1997	N	NA	N
1513-02071	NA	N	1995	Y
1513-02075	NA	N	1995	Y
1513-02080	1997	N	NA	N
1513-02081	1997	N	NA	N
1513-02082	1997	N	NA	N
1513-02083	1997	N	NA	N
1513-02085	1997	N	NA	N
1513-02088	1997	N	NA	N
1513-02089	1997	N	NA	N
1513-02092	NA	N	NA	Y
1513-02094	NA	N	1996	Y
1513-02099	1990	N	NA	Y
1513-02100	NA	N	1996	Y
1513-02266	NA	N	1997	Y
1513-02401	1996	N	NA	N
1513-02402	1996	N	NA	N
1513-02403	1996	N	NA	N
1513-02404	1996	N	NA	N
1513-02405	1996	N	NA	N
1513-02406	1996	N	NA	N
1513-02407	NA	N	1994	Y
1513-02410	NA	N	1995	Y
1513-02415	NA	N	1994	Y
1513-02416	NA	N	1994	Y
1513-02417	NA	N	1994	Y
1513-02418	NA	N	1995	Y
1513-02419	NA	N	1995	Y
1513-02436	1996	N	NA	N
1513-02437	1996	N	NA	N
1513-02438	1996	N	NA	Y
1513-02439	1996	N	NA	N
1513-02449	1996	N	NA	N
1513-02450	1996	N	NA	N
1513-02451	1996	N	NA	N
1513-02452	1996	N	NA	N
1513-02455	1996	N	NA	N
1513-02457	1996	N	NA	Y
1513-02458	1996	N	NA	N
